nces_district_id,epa_high_priority,epa_rural_indicator
5900066,Not in SIAPE,No
5900101,Not in SIAPE,No
3737099,Yes,No
3700120,Yes,Yes
3700180,Yes,No
3700210,Yes,No
3700240,Yes,No
3700300,Yes,No
3700330,Yes,No
3700360,Yes,No
3700390,Yes,No
3700660,Yes,No
3700780,Yes,Yes
3700870,Yes,Yes
3700900,Yes,No
3700930,Yes,No
3700960,Yes,No
3700011,Yes,No
3701200,Yes,No
3700840,Yes,No
3701320,Yes,No
3703540,Yes,No
3701770,Yes,Yes
3701830,Yes,No
3701950,Yes,No
3702160,Yes,No
3702190,Yes,No
3702250,Yes,No
3702280,Yes,Yes
3702340,Yes,No
3702400,Yes,No
3702430,Yes,No
3702610,Yes,No
3702640,Yes,No
3702820,Yes,No
3702880,Yes,No
3703000,Yes,No
3703060,Yes,No
3703210,Yes,No
3700129,Not in SIAPE,No
3703270,Yes,No
3703420,Yes,No
3703510,Yes,No
3703600,Yes,No
3703630,Yes,No
3700012,Yes,No
3700448,Not in SIAPE,Yes
3703930,Yes,No
3703870,Yes,No
3703900,Yes,No
3703990,Yes,No
3704050,Yes,No
3704080,Yes,No
3704140,Yes,No
3704200,Yes,No
3704440,Yes,No
3700021,Not in SIAPE,Yes
3704500,Yes,No
3704530,Yes,No
3704590,Yes,Yes
3704650,Yes,No
3704740,Yes,Yes
3704800,Yes,No
3704880,Yes,No
3704890,Yes,No
3704920,Yes,No
3704950,Yes,No
3705020,Yes,No
3705070,Yes,No
4500006,Yes,No
4501740,Yes,No
4502430,Yes,No
4502460,Yes,No
4500720,Yes,No
4500750,Yes,No
4500810,Yes,No
4500840,Yes,No
4500900,Yes,No
4500930,Yes,No
4500960,Yes,No
4501020,Yes,No
4501050,Yes,No
4501080,Yes,No
4501250,Yes,No
4501500,Yes,No
4501530,Yes,No
4501560,Yes,No
4501770,Yes,No
4501830,Yes,No
4501860,Yes,No
4501950,Yes,No
4501920,Yes,No
4500002,Yes,No
4502100,Yes,No
4502160,Yes,No
4502190,Yes,No
4502220,Yes,No
4502250,Yes,No
4502280,Yes,No
4502340,Yes,No
4502370,Yes,No
4502520,Yes,No
4502610,Yes,No
4502640,Yes,No
4502670,Yes,No
4502790,Yes,No
4503908,Yes,No
4502970,Yes,No
4503000,Yes,No
4503030,Yes,No
4503060,Yes,No
4503910,Yes,No
4503360,Yes,No
4503460,Yes,No
4503903,Not in SIAPE,Yes
4503660,Yes,No
4503902,Yes,No
4503750,Yes,No
4503780,Yes,No
4700030,Yes,No
4700144,Not in SIAPE,Yes
4700120,Yes,No
4700240,Yes,No
4700270,Yes,No
4700360,Yes,No
4700420,Yes,No
4700480,Not in SIAPE,Yes
4700510,Yes,No
4700600,Yes,No
4700630,Yes,No
4700660,Yes,Yes
4700720,Yes,No
4700750,Yes,No
4700900,Yes,No
4703180,Yes,No
4700930,Yes,No
4700960,Yes,Yes
4701080,Yes,No
4701110,Yes,No
4701140,Yes,No
4701200,Yes,No
4701230,Yes,Yes
4701440,Yes,No
4701500,Yes,No
4701530,Yes,No
4700001,Yes,No
4701620,Yes,No
4701650,Yes,Yes
4701680,Yes,No
4701740,Yes,No
4701770,Yes,No
4701830,Yes,No
4701860,Yes,No
4701890,Yes,No
4701920,Yes,No
4701950,Yes,No
4702010,Yes,No
4702070,Yes,Yes
4702160,Yes,No
4702190,Yes,No
4702280,Yes,Yes
4702310,Yes,No
4702430,Yes,No
4702460,Yes,No
4702550,Yes,No
4702580,Yes,No
4702610,Yes,No
4702640,Yes,No
4702790,Yes,No
4702880,Yes,No
4702910,Yes,No
4703090,Yes,No
4703210,Yes,No
4703300,Yes,No
4703360,Yes,No
4703390,Yes,Yes
4703420,Yes,Yes
4703510,Yes,No
4703540,Yes,No
4703660,Yes,No
4703720,Yes,No
4703750,Yes,No
4700148,Yes,No
4703990,Yes,No
4704050,Yes,No
4704100,Yes,No
4704230,Yes,No
4704260,Yes,No
4704290,Yes,No
4704320,Yes,No
4704350,Yes,No
4704440,No,Yes
